"word","position_score","psi","zeta","abs_zeta","political_leaning","frequency","position_rank","discrimination_rank"
"vgl",-5.64822855623536,-3.54309617348159,-0.960591421052612,0.960591421052612,"left",144,1,6443
"massenerwerbslosigkeit",-4.64766713582963,-4.00845345540152,-0.626340375255311,0.626340375255311,"left",18,2,10266
"mindestrente",-4.43689817153518,-3.92259297133983,-0.62416472481029,0.62416472481029,"left",14,3,10295
"dauerstress",-4.43689817153518,-3.92259297133983,-0.62416472481029,0.62416472481029,"left",14,4,10295
"arbeitszeitverkürzung",-4.43689817153518,-3.92259297133983,-0.62416472481029,0.62416472481029,"left",14,5,10295
"lsbtiqa",-4.37524760699942,-3.89835093995283,-0.622997759890366,0.622997759890366,"left",13,6,10316
"unte",-4.23715762620515,-3.8456293527232,-0.619450798053682,0.619450798053682,"left",11,7,10360.5
"pflegevollversicherung",-4.23715762620515,-3.8456293527232,-0.619450798053682,0.619450798053682,"left",11,8,10360.5
"mindestsicherung",-4.20331922007515,-2.72405137615054,-1.07664402140343,1.07664402140343,"left",32,9,5223
"standortkonkurrenz",-4.15893993306612,-3.81680085266633,-0.616843330746005,0.616843330746005,"left",10,10,10398
"sanktionsfreie",-3.97750782880226,-3.75310272385687,-0.609025029710198,0.609025029710198,"left",8,11,10491
"friedensbewegung",-3.97750782880226,-3.75310272385687,-0.609025029710198,0.609025029710198,"left",8,12,10491
"privatisierte",-3.97750782880226,-3.75310272385687,-0.609025029710198,0.609025029710198,"left",8,13,10491
"chronischer",-3.97750782880226,-3.75310272385687,-0.609025029710198,0.609025029710198,"left",8,14,10491
"antifaschistische",-3.97750782880226,-3.75310272385687,-0.609025029710198,0.609025029710198,"left",8,15,10491
"konzerninteressen",-3.97750782880226,-3.75310272385687,-0.609025029710198,0.609025029710198,"left",8,16,10491
"soloselbstständige",-3.97750782880226,-3.75310272385687,-0.609025029710198,0.609025029710198,"left",8,17,10491
"profitinteressen",-3.97102688697214,-2.6034534753805,-1.0803639609757,1.0803639609757,"left",25,18,5194
"erwerbslosigkeit",-3.92243578766172,-2.0569372609176,-1.40248295462238,1.40248295462238,"left",40,19,3045
"erwerbslos",-3.87012312037558,-3.71768635440668,-0.603169602906807,0.603169602906807,"left",7,20,10565.5
"existenzminimums",-3.87012312037558,-3.71768635440668,-0.603169602906807,0.603169602906807,"left",7,21,10565.5
"gemeindewirtschaftsteuer",-3.87012312037558,-3.71768635440668,-0.603169602906807,0.603169602906807,"left",7,22,10565.5
"zwanzig",-3.87012312037558,-3.71768635440668,-0.603169602906807,0.603169602906807,"left",7,23,10565.5
"demokratisieren",-3.85148544278949,-2.54330084490738,-1.07983524732798,1.07983524732798,"left",22,24,5198
"sperrzeiten",-3.74731370063672,-3.67948728385297,-0.595291304922994,0.595291304922994,"left",6,25,10638.5
"rettungsschirm",-3.74731370063672,-3.67948728385297,-0.595291304922994,0.595291304922994,"left",6,26,10638.5
"personalausgleich",-3.74731370063672,-3.67948728385297,-0.595291304922994,0.595291304922994,"left",6,27,10638.5
"sozialticket",-3.74731370063672,-3.67948728385297,-0.595291304922994,0.595291304922994,"left",6,28,10638.5
"bedarfsdeckend",-3.74731370063672,-3.67948728385297,-0.595291304922994,0.595291304922994,"left",6,29,10638.5
"zmz",-3.74731370063672,-3.67948728385297,-0.595291304922994,0.595291304922994,"left",6,30,10638.5
"schränken",-3.74731370063672,-3.67948728385297,-0.595291304922994,0.595291304922994,"left",6,31,10638.5
"westdeutscher",-3.74731370063672,-3.67948728385297,-0.595291304922994,0.595291304922994,"left",6,32,10638.5
"hartz-iv-system",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,33,10842.5
"sozialcharta",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,34,10842.5
"enquetekommission",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,35,10842.5
"neoliberaler",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,36,10842.5
"abfallentsorgung",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,37,10842.5
"lernmittelfreiheit",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,38,10842.5
"oer",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,39,10842.5
"elterngeldanspruch",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,40,10842.5
"troika",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,41,10842.5
"eu-verträgen",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,42,10842.5
"kampfeinsätze",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,43,10842.5
"profitlogik",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,44,10842.5
"eigentumsformen",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,45,10842.5
"verarbeitungs",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,46,10842.5
"referenden",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,47,10842.5
"beobachtungsstelle",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,48,10842.5
"mindeststundenzahl",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,49,10842.5
"notwendigem",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,50,10842.5
"busting",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,51,10842.5
"xiii",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,52,10842.5
"gewerberaum",-3.60372625417449,-3.63824771106215,-0.584408254313467,0.584408254313467,"left",5,53,10842.5
